,subject,predicate,object,negated,source_quote
0,Compliance with the recommended practices and standards set forth in this Guide,is,voluntary and noncompliance therewith,FALSE,Compliance with the recommended practices and standards set forth in this Guide is voluntary and noncompliance therewith.
1,CIs,may demonstrate,processes and capabilities,FALSE,Explanation of the processes and capabilities that covered institutions (“CIs”) may demonstrate in order to comply with Part 370.
2,CI’s information technology system,must perform,calculations,FALSE,A detailed explanation of calculations that must be performed by the CI ’s information technology system to correctly calculate deposit insurance coverage.
3,CI,may provide,Certification of Compliance,FALSE,An illustrative example of a document that a CI may provide to certify that it has implemented and successfully tested CI information technology system for compliance with Part 370.
4,Deposit Insurance Coverage Summary Report,required by,section 370.10(a)(2),FALSE,An illustrative example of a Deposit Insurance Coverage Summary Report required by section 370 .10(a)(2).
5,CI’s information technology system,must have,data-file-generation capabilities,FALSE,Explanation of data- file-generation capabilities that a CI ’s information technology system must have for the calculation of deposit insurance coverage.
6,FDIC,adopted,a final rule,FALSE,"In November 2016, the FDIC adopted a final rule requiring large Insured Depository Institutions (“IDIs”) with two million or more deposit accounts to maintain complete and accurate information needed by the FDIC to determine deposit insurance coverage for each deposit account, except as otherwise provided."
7,CI,must configure,CI IT systems,FALSE,"Each CI must also configure CI IT systems to be capable of calculating the insured and uninsured amounts in each deposit account by ownership right and capacity, which would be used by the FDIC to make deposit insurance determinations in the event of the CI’s failure."
8,FDIC,would be appointed,receiver,FALSE,"After the CI’s failure, the FDIC would be appointed receiver and would use the CI’s records and IT systems to facilitate the deposit insurance determination."
9,Deposit insurance,was established through,the Banking Act of 1933,FALSE,Deposit insurance was established through the Banking Act of 1933
10,SMDIA,is,"$2,500 ",FALSE,"with a standard maximum deposit insurance amount (“SMDIA”) of $2,500"
11,Congress and the FDIC,recognized the need for,additional coverage,FALSE,Congress and the FDIC recognized the need for additional coverage
12,the Federal Deposit Insurance Act and relevant regulations,have been amended to,increase the SMDIA and provide for additional coverage,FALSE,the Federal Deposit Insurance Act and relevant regulations have been amended to both increase the SMDIA and provide for additional coverage
13,Congress,most recently raised the SMDIA to,"$250,000 ",FALSE,"Congress most recently raised the SMDIA to $250,000 in 2010"
14,Confidence in the FDIC,is critical to,the public’s confidence in the banking system,FALSE,Confidence in the FDIC is critical to the public’s confidence in the banking system
15,No depositor,has lost,a single penny of insured deposits,FALSE,No depositor has lost a single penny of insured deposits since the FDIC was established in 1933
16,the FDIC,is required to make funds available to,depositors,FALSE,the FDIC is required to make funds available to depositors as soon as possible
17,the FDIC,often makes funds available by,the next business day after an IDI fails,FALSE,often by the next business day after an IDI fails
18,Depositors,are insured separately at,each IDI,FALSE,Depositors are insured separately at each IDI
19,each depositor’s coverage in a category at one IDI,does not affect,the depositor’s coverage in that same insurance category for an account at a different IDI,FALSE,A depositor’s coverage in a category at one IDI does not affect the depositor’s coverage in that same insurance category for an account at a different IDI
20,FDIC,relies on,the deposit account records of the CI,FALSE,the FDIC relies upon the deposit account records of the CI to determine the ownership of deposits
21,those records,shall be considered binding on,the depositor,FALSE,then those records shall be considered binding on the depositor
22,FDIC,shall consider,no other records on how the deposits are owned,FALSE,the FDIC shall consider no other records on how the deposits are owned
23,Deposit insurance coverage,is provided for,deposits held in the different ORCs,FALSE,Deposit insurance coverage is provided for deposits held in the different ORCs
24,All deposits with an IDI,are aggregated and insured up to,the SMDIA for each ORC,FALSE,"All deposits with an IDI, whether held in one account or multiple accounts, are aggregated and insured up to the SMDIA for each ORC."
25,Deposits in fiduciary or agency accounts,may be entitled to,pass-through deposit insurance coverage,FALSE,Deposits in fiduciary or agency accounts may be entitled to pass-through deposit insurance coverage.
26,These accounts,are established and maintained by,third parties on behalf of the beneficial owner of the deposit,FALSE,"These accounts, described more fully at 12 CFR § 330.5, are established and maintained by third parties on behalf of the beneficial owner of the deposit."
27,These pass-through deposits,would be aggregated with,all other deposits held in the same ORC by the beneficial owner,FALSE,"For deposit insurance calculation purposes, these pass-through deposits would be aggregated with all other deposits held in the same ORC by the beneficial owner."
28,Deposit insurance coverage,is available for,domestic deposits only,FALSE,Deposit insurance coverage is available for domestic deposits only.
29,"Non-deposit accounts, such as securities accounts, and deposits at foreign branches",are excluded from,coverage,FALSE,"Non-deposit accounts, such as securities accounts, and deposits at foreign branches are excluded from coverage."
30,Deposit accounts with negative balances,are excluded from,coverage,FALSE,Deposit accounts with negative balances are excluded from coverage.
31,accounts,are excluded from,coverage,FALSE,"accounts, a nd deposits at f oreign branches are  excluded from coverage."
32,DeposAccount accounts with negative balances,are excluded from,depos Account liabilities,FALSE,DeposAccount  account s with n egative b ala nces (ov erdraft) a re also e xclude d bec ause  ov are no t depos Account liabilities.
33,Part 370,did not change,tem s rules that govern deposit insurance coverage,FALSE,"In issuing Part 370,  tPart FDI C did not ch ange t ems rule s that go vern d eposit  insurance co ve rage."
